INFO 2024-07-22 18:41:48,477 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-22 18:41:48,832 autoreload File F:\Learnings\DS\Final_Project\houseprice\houseprice\settings.py first seen with mtime 1721658840.788949
DEBUG 2024-07-22 18:41:48,833 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1721637563.228674
DEBUG 2024-07-22 18:41:48,833 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\admin\decorators.py first seen with mtime 1721637560.5986736
DEBUG 2024-07-22 18:41:48,833 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\functools.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,834 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1721637562.9436738
DEBUG 2024-07-22 18:41:48,834 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\weakref.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,835 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\copy.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,835 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1721637563.311674
DEBUG 2024-07-22 18:41:48,835 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1721637563.4736743
DEBUG 2024-07-22 18:41:48,836 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1721637563.4316735
DEBUG 2024-07-22 18:41:48,836 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\views\debug.py first seen with mtime 1721637563.4716737
DEBUG 2024-07-22 18:41:48,837 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\encodings\latin_1.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,837 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\argparse.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,837 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\urllib3\util\util.py first seen with mtime 1721560051.685097
DEBUG 2024-07-22 18:41:48,838 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\asyncio\base_events.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,838 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\dis.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,838 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\apps\registry.py first seen with mtime 1721637560.296675
DEBUG 2024-07-22 18:41:48,839 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\DLLs\_queue.pyd first seen with mtime 1630341402.0
DEBUG 2024-07-22 18:41:48,839 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\__init__.py first seen with mtime 1721637560.292674
DEBUG 2024-07-22 18:41:48,840 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1721637563.4826736
DEBUG 2024-07-22 18:41:48,840 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\ctypes\__init__.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,840 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\template\context.py first seen with mtime 1721637563.3996742
DEBUG 2024-07-22 18:41:48,841 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1721560087.3560982
DEBUG 2024-07-22 18:41:48,841 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1721637563.1616743
DEBUG 2024-07-22 18:41:48,841 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1721637563.408674
DEBUG 2024-07-22 18:41:48,842 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\utils\itercompat.py first seen with mtime 1721637563.454674
DEBUG 2024-07-22 18:41:48,842 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\urllib3\contrib\__init__.py first seen with mtime 1721560051.6680977
DEBUG 2024-07-22 18:41:48,843 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\requests\sessions.py first seen with mtime 1721560092.565098
DEBUG 2024-07-22 18:41:48,843 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\asyncio\base_futures.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,844 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\models\query.py first seen with mtime 1721637563.2896788
DEBUG 2024-07-22 18:41:48,844 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1721637563.2256744
DEBUG 2024-07-22 18:41:48,844 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1721637563.2256744
DEBUG 2024-07-22 18:41:48,845 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\typing.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,845 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\urllib3\poolmanager.py first seen with mtime 1721560051.6660986
DEBUG 2024-07-22 18:41:48,846 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\contrib\sessions\backends\__init__.py first seen with mtime 1721637562.758674
DEBUG 2024-07-22 18:41:48,846 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\core\files\images.py first seen with mtime 1721637563.1696734
DEBUG 2024-07-22 18:41:48,846 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\opcode.py first seen with mtime 1630341326.0
DEBUG 2024-07-22 18:41:48,847 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\db\__init__.py first seen with mtime 1721637563.221674
DEBUG 2024-07-22 18:41:48,847 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\asyncio\protocols.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,848 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1721637563.177674
DEBUG 2024-07-22 18:41:48,848 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\contextvars.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,848 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\colorama\winterm.py first seen with mtime 1720422780.7089307
DEBUG 2024-07-22 18:41:48,849 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\views\__init__.py first seen with mtime 1721637563.4696736
DEBUG 2024-07-22 18:41:48,849 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\sqlparse\tokens.py first seen with mtime 1721637559.8326743
DEBUG 2024-07-22 18:41:48,849 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1721637563.4566765
DEBUG 2024-07-22 18:41:48,850 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\django\utils\connection.py first seen with mtime 1721637563.4396744
DEBUG 2024-07-22 18:41:48,850 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\asyncio\windows_events.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,851 autoreload File C:\Program Files (x86)\Microsoft Visual Studio\Shared\Python39_64\Lib\email\message.py first seen with mtime 1630341324.0
DEBUG 2024-07-22 18:41:48,851 autoreload File F:\Learnings\DS\Final_Project\.venv\Lib\site-packages\requests\adapters.py first seen with mtime 1721560092.5560987
